Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
11/1/2015,156.10632,3.94,51428,7194.758,3.9,453858.011,694.1751,36.20%,133259,1.90%,3712,3.48,219.736
12/1/2015,156.43941,3.96,51428,7194.758,3.6,453858.011,694.1751,36.20%,133259,1.90%,4354,4.06,219.736
1/1/2016,156.62929,3.87,51428,7194.758,3.8,453858.011,762.4122,36.20%,134215,1.70%,3504,4.55,219.736
2/1/2016,157.46172,3.66,53870,7337.097,3.8,1699894.281,762.4122,36.20%,134215,1.70%,3628,4.19,221.248
3/1/2016,159.7194,3.69,53870,7337.097,3.8,1699894.281,762.4122,36.20%,134215,1.70%,4028,3.76,221.248
4/1/2016,161.71003,3.61,53870,7337.097,3.6,1699894.281,762.4122,35.70%,133964,1.50%,4028,3.83,221.248
5/1/2016,163.81696,3.6,53870,7337.097,3.6,1699894.281,762.4122,35.70%,133964,1.50%,4692,3.43,221.248
6/1/2016,165.2148,3.57,53870,7337.097,4.1,1699894.281,762.4122,35.70%,133964,1.50%,4932,3.38,221.248
7/1/2016,166.33744,3.44,53870,7337.097,4.2,1699894.281,762.4122,35.20%,134870,1.50%,5568,3.91,221.248
8/1/2016,167.13441,3.44,53870,7337.097,4.1,1699894.281,762.4122,35.20%,134870,1.50%,5175,3.96,221.248
9/1/2016,167.73157,3.46,53870,7337.097,4.1,1699894.281,762.4122,35.20%,134870,1.50%,3660,4.03,221.248
10/1/2016,168.43477,3.47,53870,7337.097,3.9,1699894.281,762.4122,35.10%,136846,1.50%,4608,3.92,221.248
11/1/2016,168.73869,3.77,53870,7337.097,3.7,1699894.281,762.4122,35.10%,136846,1.50%,4908,3.94,221.248
12/1/2016,169.04901,4.2,53870,7337.097,3.7,1699894.281,762.4122,35.10%,136846,1.50%,4223,3.95,221.248
1/1/2017,169.46066,4.15,53870,7337.097,4.1,1699894.281,774.6436,35.30%,138819,1.40%,6054,4.08,221.248
2/1/2017,171.30343,4.17,56864,7455.756,4.1,505768.515,774.6436,35.30%,138819,1.40%,4914,3.98,225.753
3/1/2017,173.44678,4.2,56864,7455.756,3.9,505768.515,774.6436,35.30%,138819,1.40%,6397,3.93,225.753
4/1/2017,175.29404,4.05,56864,7455.756,3.5,505768.515,774.6436,35.10%,140633,1.20%,4205,3.69,225.753
5/1/2017,176.53401,4.01,56864,7455.756,3.6,505768.515,774.6436,35.10%,140633,1.20%,4995,3.77,225.753
6/1/2017,177.85815,3.9,56864,7455.756,3.9,505768.515,774.6436,35.10%,140633,1.20%,5659,3.94,225.753
7/1/2017,178.50937,3.97,56864,7455.756,3.9,505768.515,774.6436,34.70%,142486,1.20%,4250,3.76,225.753
8/1/2017,179.0317,3.88,56864,7455.756,3.9,505768.515,774.6436,34.70%,142486,1.20%,6620,3.91,225.753
9/1/2017,179.73311,3.81,56864,7455.756,3.5,505768.515,774.6436,34.70%,142486,1.20%,4446,4.15,225.753
10/1/2017,180.42716,3.9,56864,7455.756,3.3,505768.515,774.6436,34.50%,144208,1.40%,6459,4.03,225.753
11/1/2017,180.64196,3.92,56864,7455.756,3.4,505768.515,774.6436,34.50%,144208,1.40%,3754,3.73,225.753
12/1/2017,180.78713,3.95,56864,7455.756,3.3,505768.515,774.6436,34.50%,144208,1.40%,3631,3.54,225.753
1/1/2018,181.23406,4.03,56864,7455.756,3.7,505768.515,764.9371,34.70%,145761,1.30%,5687,3.46,225.753
2/1/2018,182.28582,4.33,58725,7573.136,3.7,523861.973,764.9371,34.70%,145761,1.30%,3979,3.59,228.881
3/1/2018,183.58835,4.44,58725,7573.136,3.6,523861.973,764.9371,34.70%,145761,1.30%,4814,3.72,228.881
4/1/2018,185.27276,4.47,58725,7573.136,3.3,523861.973,764.9371,34.50%,147349,1.10%,8213,3.81,228.881
5/1/2018,186.42279,4.59,58725,7573.136,3.3,523861.973,764.9371,34.50%,147349,1.10%,4805,4.16,228.881
6/1/2018,187.159,4.57,58725,7573.136,3.9,523861.973,764.9371,34.50%,147349,1.10%,5813,4.25,228.881
7/1/2018,187.50014,4.53,58725,7573.136,3.7,523861.973,764.9371,34.40%,150174,1.10%,5275,4.22,228.881
8/1/2018,187.43342,4.55,58725,7573.136,3.6,523861.973,764.9371,34.40%,150174,1.10%,5416,4.18,228.881
9/1/2018,187.42928,4.63,58725,7573.136,3.4,523861.973,764.9371,34.40%,150174,1.10%,4336,4.02,228.881
10/1/2018,187.49068,4.83,58725,7573.136,3.3,523861.973,764.9371,34.00%,151486,1.10%,4505,4.09,228.881
11/1/2018,187.88942,4.87,58725,7573.136,3.2,523861.973,764.9371,34.00%,151486,1.10%,4920,4.05,228.881
12/1/2018,187.97905,4.64,58725,7573.136,3.3,523861.973,764.9371,34.00%,151486,1.10%,4099,3.93,228.881
