,Date,S&P/Case-Shiller CA-San Francisco Home Price Index,Condo Price Index for San Francisco,Consumer Price Index for All Urban Consumers: Rent,Consumer Price Index for All Urban Consumers: All Items(CBSA),"Total Gross Domestic Product, Millions of Dollars, Annual(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,"Per Capita Personal Income,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Unemployment Rate(MSA),All-Transactions House Price Index（MSAD）,Consumer Price Index for All Urban Consumers: Housing（CBSA）,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent（CBSA）,"Economic Conditions Index,percent（MSA）",New Private Housing Structures Authorized by Building Permits（MSA）
140,1998-09-01,84.439691474831000,79.521485529771000,202.800,,,,,,,,3.7,,,214.100,4.22,1580.25912777980000
141,1998-10-01,84.965011043203000,80.876701190612000,204.000,167.200,,,,,,,3.5,127.88,177.500,215.400,4.44,1364.36400053065000
142,1998-11-01,85.164210165029000,81.510932931505000,205.000,,,,,,,,3.2,,,216.600,4.22,1688.83580200605000
143,1998-12-01,85.397754968571000,82.384090664167000,206.000,167.400,,,,,,,2.8,,178.700,217.800,3.97,1487.39855235277000
144,1999-01-01,86.227893509268000,82.719648747215000,207.500,,,,,,43372,,3.3,130.84,,219.900,3.92,1307.72949945243000
145,1999-02-01,87.219064866710000,83.371177469960000,208.500,169.400,,,,,,,3.2,,181.700,220.900,3.64,1353.62942856671000
146,1999-03-01,88.291712894139000,84.145285717196000,209.700,,,,,,,,3.1,,,221.600,4.23,753.55451009674200
147,1999-04-01,89.086170216910000,85.690049505532000,210.500,172.200,,,,,,,2.9,136.31,183.000,222.300,4.44,950.38094091841700
148,1999-05-01,89.970171337519000,86.967295630868000,211.300,,,,,,,,2.7,,,223.300,4.44,962.40220431940200
149,1999-06-01,91.276078855562000,88.845515774744000,212.700,171.800,,,,,,,3.1,,185.000,223.900,4.06,1471.19607699356000
150,1999-07-01,92.892928397916000,90.732941024703000,213.600,,,,,,,,3.3,142.22,,224.400,4.15,772.73258121776700
151,1999-08-01,94.275225869156000,92.927553355572000,215.700,173.500,,,,,,,3.1,,186.900,225.200,4.14,1334.99790454030000
152,1999-09-01,95.596227288514000,94.068626972045000,216.400,,,,,,,,2.9,,,226.600,4.21,1404.51973308609000
153,1999-10-01,96.764295699633000,95.220383848189000,217.500,175.200,,,,,,,2.8,150.30,189.900,228.400,4.18,1028.56159029080000
154,1999-11-01,98.508826967363000,96.960326205179000,219.200,,,,,,,,2.6,,,229.700,3.95,801.25656309912300
155,1999-12-01,100.029152718928000,99.312465312618000,220.300,174.500,,,,,,,2.3,,189.600,229.900,4.00,1128.26248132149000
156,2000-01-01,101.449954146631000,101.539057336374000,221.500,,,,,,49423,4136.658,3.6,158.92,,231.100,3.48,1408.03386192540000
157,2000-02-01,104.170603180580000,104.940559699238000,222.000,176.500,,,,,,,3.5,,192.100,232.500,4.04,1325.55571940905000
158,2000-03-01,107.337223132830000,108.560269321275000,223.100,,,,,,,,3.6,,,233.200,4.45,1035.44832138884000
159,2000-04-01,110.632997267107000,112.562428365548000,224.200,178.700,,,,,,,3.2,169.88,194.400,233.700,4.88,862.73675977037700
160,2000-05-01,113.800512991693000,116.140212190560000,225.600,,,,,,,,3.3,,,234.100,4.78,1060.41989564240000
161,2000-06-01,116.815105669714000,118.063871681830000,226.300,179.100,,,,,,,3.7,,195.400,235.400,5.35,1299.84989586820000
162,2000-07-01,117.864996999682000,119.318893354549000,228.500,,,,,,,,3.8,178.34,,237.400,5.35,965.20150847526500
163,2000-08-01,119.047836460799000,120.622039218064000,229.800,181.700,,,,,,,3.6,,197.900,238.900,5.30,1179.51887109145000
164,2000-09-01,120.414855009057000,122.623313821843000,231.200,,,,,,,,3.3,,,240.400,5.28,1063.14035827505000
165,2000-10-01,123.250014483815000,124.784798799291000,234.300,183.400,,,,,,,3.2,184.08,202.000,242.700,4.68,1502.14720691712000
166,2000-11-01,126.443110528225000,128.443918916599000,237.100,,,,,,,,3.1,,,245.500,4.39,1378.13767013235000
167,2000-12-01,130.061234219913000,132.793478043990000,239.400,184.100,,,,,,,2.8,,203.800,247.800,3.40,981.14781820380600
168,2001-01-01,133.040245578148000,136.081755528949000,240.600,,241522.567,,,,49578,4179.628,3.6,190.27,,249.600,2.09,1752.81538847525000
169,2001-02-01,135.075260027357000,135.809295816560000,243.300,187.900,,,,,,,3.4,,211.800,252.600,0.61,943.65543666607000
170,2001-03-01,134.936973624643000,134.805611259795000,246.100,,,,,,,,3.7,,,254.800,-1.21,876.44109592855600
171,2001-04-01,133.855797925051000,132.380604234020000,248.200,189.100,,,,,,,3.7,193.90,213.600,257.000,-3.81,1106.09620327735000
172,2001-05-01,132.662005690791000,130.168348080060000,250.700,,,,,,,,3.7,,,259.600,-4.40,1049.14885904270000
173,2001-06-01,130.833803111333000,127.530775642354000,252.500,190.900,,,,,,,4.5,,217.900,262.300,-4.87,960.56013658778500
174,2001-07-01,129.281107112543000,126.276818088587000,255.300,,,,,,,,4.7,195.39,,264.800,-5.56,739.58848102652300
175,2001-08-01,128.330619693887000,125.588371506348000,256.800,191.000,,,,,,,5.0,,219.700,266.300,-5.76,926.38175749890800
176,2001-09-01,128.184201915309000,125.777647068467000,258.000,,,,,,,,4.9,,,267.600,-6.04,494.56777507970900
177,2001-10-01,128.210650592523000,125.476695402600000,260.500,191.700,,,,,,,5.4,192.73,219.900,269.200,-6.12,797.31367673467100
178,2001-11-01,127.674893478896000,124.697357082727000,260.600,,,,,,,,5.5,,,269.800,-5.08,622.92559202621700
179,2001-12-01,126.843082443802000,121.997015612241000,261.900,190.600,,,,,,,5.2,,220.200,271.000,-3.90,748.16376469687600
180,2002-01-01,126.842053106140000,122.264462952962000,262.100,,241069.448,,,,48393,4165.678,6.2,195.27,,271.600,-3.09,764.98475558555000
181,2002-02-01,127.614108050174000,122.382852358481000,262.400,191.300,,,,,,,6.0,,219.600,272.500,-1.46,1198.63662585335000
182,2002-03-01,129.559931539189000,125.811467687337000,262.400,,,,,,,,6.2,,,272.600,-0.40,1420.80034838157000
183,2002-04-01,132.110382969570000,129.304186393611000,261.800,193.000,,,,,,,6.0,200.03,221.200,273.300,0.10,1239.46874541397000
184,2002-05-01,134.748356712919000,131.875165001822000,260.800,,,,,,,,5.8,,,273.700,0.59,899.51281691591000
185,2002-06-01,137.569190575682000,133.893390149701000,262.000,193.200,,,,,,,6.4,,222.600,273.900,0.49,777.11678696477100
186,2002-07-01,139.373345498534000,134.663464855916000,263.500,,,,,,,,6.5,204.76,,274.200,0.42,790.30003705331800
