,Date,Consumer Price Index for All Urban Consumers: Housing(CBSA),All-Transactions House Price Index(MSAD),S&P/Case-Shiller NY-New York Home Price Index,Consumer Price Index for All Urban Consumers: All Items(CBSA),"New Private Housing Structures Authorized by Building Permits, Units(MSA)","Economic Conditions Index, percent(MSA)","Civilian Labor Force, persons(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Per Capita Personal Income, Dollars(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),Unemployment Rate(MSA),"Total Gross Domestic Product, Millions of Dollars(MSA)"
325,2003-02-01,205.400,,147.93700707891800,196.200,3935.4546745361700,-0.44,9360888,,,,257.000,,,229.600,6.6,
326,2003-03-01,207.600,,149.21565497081000,197.100,3805.5471004008700,0.02,9353905,,,,257.200,,,230.000,6.5,
327,2003-04-01,206.700,181.37,150.33923143900400,196.700,3867.8043256533100,0.32,9343291,,,,256.500,,,230.900,6.6,
328,2003-05-01,207.200,,151.49146771761700,196.800,4653.4645656585900,0.42,9329657,,,,257.700,,,231.200,6.6,
329,2003-06-01,207.900,,152.24691827868600,196.900,3333.5215884674200,0.32,9317185,,,,257.800,,,232.300,6.6,
330,2003-07-01,208.800,184.71,153.28988814367200,197.700,3778.4175721933500,1.06,9308887,,,,259.200,,,233.800,6.6,
331,2003-08-01,210.300,,154.48702441567800,199.100,4825.4557285531900,0.93,9305784,,,,260.100,,,234.500,6.6,
332,2003-09-01,208.700,,156.36301928325600,199.600,4034.6392973518400,1.23,9307369,,,,261.700,,,235.000,6.5,
333,2003-10-01,209.900,194.26,157.97717598426800,200.000,4902.5839028122500,1.15,9313109,,,,263.500,,,235.300,6.5,
334,2003-11-01,209.500,,160.01690516499600,199.400,3709.6058682021400,0.94,9322210,,,,264.900,,,236.700,6.4,
335,2003-12-01,209.800,,161.89531936453200,199.300,4916.7862837970900,0.73,9332077,,,,265.700,,,237.500,6.3,
336,2004-01-01,211.900,198.66,163.64353684420100,199.900,3721.8349296563800,0.72,9340457,,,,266.300,44393,18747.431,237.600,6.2,1034450.218
337,2004-02-01,212.400,,165.45066909432900,201.100,3899.5425278131900,1.79,9348101,,,,266.200,,,238.900,6.2,
338,2004-03-01,214.600,,167.47891394156700,203.400,4356.8836025889400,2.26,9358655,,,,267.300,,,239.900,6.1,
339,2004-04-01,216.200,205.47,169.13852183985000,204.000,4713.0937932534700,1.56,9372306,,,,269.300,,,241.300,6.0,
340,2004-05-01,215.600,,171.14413110856700,204.400,4828.8030428025700,1.91,9386976,,,,269.900,,,242.700,5.9,
341,2004-06-01,218.400,,173.34758887611500,206.000,4698.5187945978900,2.21,9400144,,,,270.400,,,243.300,5.7,
342,2004-07-01,218.500,219.16,175.64859684320100,205.500,5026.8262741551600,2.58,9411395,,,,271.300,,,244.500,5.6,
343,2004-08-01,219.000,,177.28431440099100,205.700,4476.7523352309100,1.70,9420431,,,,272.000,,,245.100,5.4,
344,2004-09-01,218.200,,179.12208473501900,205.900,4616.9601588732000,1.20,9426915,,,,272.800,,,246.300,5.3,
345,2004-10-01,219.300,224.19,181.12581677322500,207.300,4488.3144984534800,0.98,9430438,,,,272.800,,,246.900,5.2,
