,Date,Consumer Price Index for All Urban Consumers: Rent(CBSA),All-Transactions House Price Index(MSAD),New Private Housing Units Authorized by Building Permits: 1-Unit Structures(MSA),Consumer Price Index for All Urban Consumers: housing(CBSA),Consumer Price Index for All Urban Consumers: All items(CBSA),Economic Conditions Index(MSA),"Total Gross Domestic Product for Dallas,Millions of Dollars(MSA)",S&P/Case-Shiller TX-Dallas Home Price Index,Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Civilian Labor Force in Dallas,persons(MSA)","Per Capita Personal Income,persons,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)","Unemployment Rate, percent(MSA)"
348,1992-11-01,121.500,,1669.3877963763300,,,3.70,,,,,,,2383375,,,6.8
349,1992-12-01,122.700,,1766.0100646762800,121.700,134.600,4.23,,,,,,,2378185,,,6.3
350,1993-01-01,122.900,99.08,1622.8091065110800,,,4.81,,,,,,132.900,2361858,22888,,7.1
351,1993-02-01,123.400,,1579.5751204963600,123.900,135.400,4.77,,,,,,,2366645,,,6.7
352,1993-03-01,122.800,,1702.7556907972100,,,4.28,,,,,,,2371356,,,6.3
353,1993-04-01,123.500,99.92,1765.5824752195600,123.700,137.000,3.88,,,,,,,2367699,,,6.0
354,1993-05-01,123.000,,1723.8486074974800,,,4.19,,,,,,,2387253,,,6.1
355,1993-06-01,123.400,,1789.7754598640900,123.600,136.200,4.74,,,,,,,2431011,,,6.5
356,1993-07-01,123.500,100.48,1778.2683770751000,,,4.98,,,,,,,2439624,,,6.1
357,1993-08-01,124.200,,1755.0150183861600,127.600,138.100,4.55,,,,,,,2435707,,,6.1
358,1993-09-01,124.700,,1989.9489949139800,,,4.62,,,,,,,2410478,,,5.9
359,1993-10-01,124.600,101.19,1845.6235265150600,128.100,139.600,4.45,,,,,,,2420683,,,5.8
360,1993-11-01,125.100,,2044.1080220202200,,,4.23,,,,,,,2432226,,,5.7
361,1993-12-01,126.200,,2077.1198180026300,126.100,138.800,4.31,,,,,,,2426968,,,5.3
362,1994-01-01,126.000,101.40,1948.2463997228900,,,4.26,,,,,,136.900,2423824,23841,,6.1
363,1994-02-01,126.400,,2121.1376113704500,126.600,139.200,4.02,,,,,,,2430820,,,6.0
364,1994-03-01,127.300,,2062.5607205348100,,,4.60,,,,,,,2432831,,,5.8
365,1994-04-01,128.300,100.81,1903.6411672695900,128.500,140.300,4.95,,,,,,,2438870,,,5.5
366,1994-05-01,127.800,,1899.9758856715400,,,5.15,,,,,,,2454814,,,5.2
367,1994-06-01,128.200,,1883.7525120210400,129.500,141.400,5.44,,,,,,,2487985,,,5.8
368,1994-07-01,128.500,100.50,1570.7284777012100,,,5.70,,,,,,,2500373,,,5.6
369,1994-08-01,129.500,,1920.3769304958700,130.100,142.200,5.70,,,,,,,2494395,,,5.3
370,1994-09-01,130.300,,1655.1594868430100,,,5.52,,,,,,,2481154,,,5.1
371,1994-10-01,129.600,100.06,1621.0886190486600,131.000,142.800,5.40,,,,,,,2489027,,,4.8
